state,month_year,cocaine,heroin,methadone,number_of_deaths,number_drug_overdose_death,opioids,percent_drugs_specified,psychostimulants,unemployment_data
IA,May-2017,0,0,0,30121,322,0,0,0,3.2
IA,May-2018,0,0,0,30068,312,0,0,0,2.6
IA,Nov-2015,0,0,0,29599,308,0,0,0,3.7
IA,Nov-2016,0,0,0,29018,319,0,0,0,3.5
IA,Nov-2017,0,0,0,30220,340,0,0,0,2.8
IA,Oct-2015,0,0,0,29692,307,0,0,0,3.7
IA,Oct-2016,0,0,0,28956,313,0,0,0,3.6
IA,Oct-2017,0,0,0,30135,338,0,0,0,2.9
IA,Sep-2015,0,0,0,29678,311,0,0,0,3.7
IA,Sep-2016,0,0,0,28822,306,0,0,0,3.6
IA,Sep-2017,0,0,0,30122,334,0,0,0,3.0
ID,Apr-2015,0,0,0,12753,219,0,0,0,4.3
ID,Apr-2016,0,0,0,13093,209,0,0,0,3.9
ID,Apr-2017,0,0,0,13619,235,0,0,0,3.3
ID,Apr-2018,0,0,0,13984,227,0,0,0,2.9
ID,Aug-2015,0,0,0,12836,218,0,0,0,4.2
ID,Aug-2016,0,0,0,13283,217,0,0,0,3.8
ID,Aug-2017,0,0,0,13656,235,0,0,0,3.1
ID,Aug-2018,0,0,0,14119,240,0,0,0,2.8
ID,Dec-2015,0,0,0,12987,214,0,0,0,4.0
ID,Dec-2016,0,0,0,13297,228,0,0,0,3.5
ID,Dec-2017,0,0,0,13908,234,0,0,0,3.0
ID,Feb-2015,0,0,0,12669,206,0,0,0,4.4
ID,Feb-2016,0,0,0,12987,215,0,0,0,4.0
ID,Feb-2017,0,0,0,13530,232,0,0,0,3.4
ID,Feb-2018,0,0,0,13928,223,0,0,0,3.0
ID,Jan-2015,0,0,0,12667,209,0,0,0,4.4
ID,Jan-2016,0,0,0,12912,214,0,0,0,4.0
ID,Jan-2017,0,0,0,13479,226,0,0,0,3.5
ID,Jan-2018,0,0,0,13900,228,0,0,0,3.0
ID,Jul-2015,0,0,0,12917,220,0,0,0,4.2
ID,Jul-2016,0,0,0,13228,218,0,0,0,3.8
ID,Jul-2017,0,0,0,13621,234,0,0,0,3.2
ID,Jul-2018,0,0,0,14108,241,0,0,0,2.8
ID,Jun-2015,0,0,0,12831,217,0,0,0,4.2
ID,Jun-2016,0,0,0,13221,216,0,0,0,3.8
ID,Jun-2017,0,0,0,13580,231,0,0,0,3.2
ID,Jun-2018,0,0,0,14048,232,0,0,0,2.8
ID,Mar-2015,0,0,0,12693,216,0,0,0,4.4
ID,Mar-2016,0,0,0,13036,212,0,0,0,3.9
ID,Mar-2017,0,0,0,13601,231,0,0,0,3.4
ID,Mar-2018,0,0,0,13964,225,0,0,0,2.9
ID,May-2015,0,0,0,12849,213,0,0,0,4.3
ID,May-2016,0,0,0,13131,212,0,0,0,3.9
ID,May-2017,0,0,0,13588,240,0,0,0,3.3
ID,May-2018,0,0,0,14021,222,0,0,0,2.9
ID,Nov-2015,0,0,0,12905,209,0,0,0,4.1
ID,Nov-2016,0,0,0,13190,235,0,0,0,3.6
ID,Nov-2017,0,0,0,13936,233,0,0,0,3.1
ID,Oct-2015,0,0,0,12892,215,0,0,0,4.1
ID,Oct-2016,0,0,0,13205,229,0,0,0,3.7
ID,Oct-2017,0,0,0,13864,236,0,0,0,3.1
ID,Sep-2015,0,0,0,12782,214,0,0,0,4.1
ID,Sep-2016,0,0,0,13227,218,0,0,0,3.7
ID,Sep-2017,0,0,0,13769,240,0,0,0,3.1
IL,Apr-2015,0,0,0,104256,1735,0,0,0,6.0
IL,Apr-2016,0,0,0,103291,2097,0,0,0,6.0
IL,Apr-2017,0,0,0,105559,2513,0,0,0,4.9
IL,Apr-2018,0,0,0,107683,2801,0,0,0,4.3
IL,Aug-2015,0,0,0,105266,1793,0,0,0,5.9
IL,Aug-2016,0,0,0,103292,2275,0,0,0,5.7
IL,Aug-2017,0,0,0,105639,2560,0,0,0,4.9
IL,Aug-2018,0,0,0,107609,2838,0,0,0,4.2
IL,Dec-2015,0,0,0,103953,1864,0,0,0,6.0
IL,Dec-2016,0,0,0,104091,2427,0,0,0,5.4
IL,Dec-2017,0,0,0,106635,2765,0,0,0,4.6
IL,Feb-2015,0,0,0,103174,1657,0,0,0,6.0
IL,Feb-2016,0,0,0,103656,1958,0,0,0,6.1
IL,Feb-2017,0,0,0,104986,2553,0,0,0,5.1
IL,Feb-2018,0,0,0,107652,2746,0,0,0,4.4
IL,Jan-2015,0,0,0,103054,1652,0,0,0,6.0
IL,Jan-2016,0,0,0,103132,1893,0,0,0,6.1
IL,Jan-2017,0,0,0,104762,2524,0,0,0,5.3
IL,Jan-2018,0,0,0,107753,2760,0,0,0,4.4
IL,Jul-2015,0,0,0,104977,1761,0,0,0,5.9
IL,Jul-2016,0,0,0,103249,2261,0,0,0,5.8
